label,weight,profit
item_0,3,1
item_1,1,5
item_2,4,14
item_3,4,3
item_4,2,2
item_5,1,11
item_6,1,5
item_7,3,11
item_8,1,12
item_9,4,1
item_10,4,14
item_11,2,4
item_12,5,7
item_13,1,3
item_14,4,12
item_15,4,15
item_16,3,19
item_17,2,11
item_18,4,13
item_19,4,12
item_20,4,2
item_21,1,6
item_22,1,5
item_23,1,6
item_24,3,8
item_25,2,5
item_26,1,19
item_27,3,13
item_28,1,15
item_29,1,8
item_30,5,13
item_31,3,14
item_32,4,16
item_33,1,2
item_34,2,6
item_35,1,19
item_36,4,7
item_37,3,9
item_38,5,10
item_39,1,6
item_40,3,6
item_41,3,18
item_42,2,5
item_43,5,11
item_44,1,2
item_45,1,13
item_46,4,9
item_47,1,8
item_48,5,11
item_49,5,17
item_50,1,15
item_51,3,11
item_52,1,13
item_53,1,9
item_54,2,19
item_55,4,6
item_56,3,4
item_57,5,18
item_58,2,13
item_59,3,4
item_60,4,11
item_61,4,11
item_62,1,7
item_63,1,19
item_64,4,17
item_65,2,2
item_66,4,19
item_67,1,10
item_68,1,15
item_69,4,3
item_70,2,11
item_71,1,18
item_72,2,5
item_73,3,15
item_74,1,7
item_75,5,13
item_76,2,11
item_77,1,5
item_78,2,12
item_79,1,5
item_80,1,13
item_81,1,18
item_82,4,2
item_83,1,14
item_84,1,4
item_85,5,12
item_86,2,16
item_87,4,5
item_88,1,9
item_89,2,10
item_90,4,14
item_91,5,3
item_92,2,7
item_93,4,6
item_94,1,10
item_95,2,6
item_96,1,19
item_97,2,17
item_98,3,2
item_99,5,17
item_100,5,19
item_101,4,4
item_102,2,5
item_103,2,2
item_104,2,20
item_105,1,16
item_106,2,9
item_107,5,20
item_108,3,15
item_109,1,7
item_110,5,12
item_111,3,15
item_112,1,12
item_113,3,17
item_114,1,19
item_115,1,5
item_116,3,14
item_117,1,3
item_118,4,6
item_119,3,13
item_120,2,12
item_121,3,19
item_122,1,15
item_123,1,9
item_124,3,7
item_125,2,15
item_126,1,10
item_127,5,20
item_128,1,5
item_129,1,19
item_130,4,18
item_131,2,4
item_132,4,14
item_133,3,20
item_134,3,1
item_135,4,7
item_136,3,19
item_137,1,3
item_138,1,12
item_139,1,12
item_140,4,5
item_141,3,6
item_142,2,18
item_143,4,3
item_144,2,6
item_145,1,16
item_146,3,6
item_147,4,11
item_148,2,1
item_149,1,18
item_150,5,11
item_151,4,12
item_152,1,3
item_153,2,18
item_154,4,17
item_155,4,5
item_156,1,3
item_157,4,18
item_158,2,13
item_159,1,19
item_160,4,20
item_161,4,18
item_162,1,15
item_163,2,19
item_164,4,17
item_165,4,6
item_166,4,3
item_167,4,17
item_168,1,17
item_169,2,7
item_170,4,5
item_171,1,5
item_172,2,17
item_173,5,6
item_174,3,9
item_175,5,11
item_176,5,3
item_177,5,4
item_178,5,6
item_179,1,9
item_180,4,7
item_181,3,11
item_182,2,12
item_183,1,14
item_184,1,19
item_185,3,15
item_186,4,14
item_187,2,2
item_188,3,7
item_189,2,17
item_190,4,7
item_191,2,9
item_192,2,7
item_193,1,9
item_194,5,14
item_195,5,13
item_196,2,11
item_197,1,6
item_198,2,12
item_199,3,10
item_200,2,5
item_201,2,18
item_202,4,4
item_203,1,11
item_204,3,7
item_205,4,15
item_206,3,5
item_207,1,1
item_208,1,10
item_209,4,2
item_210,2,13
item_211,1,14
item_212,3,6
item_213,3,1
item_214,4,16
item_215,1,9
item_216,1,19
item_217,3,2
item_218,1,17
item_219,2,16
item_220,3,20
item_221,3,19
item_222,4,13
item_223,4,11
item_224,4,11
item_225,4,15
item_226,2,6
item_227,1,13
item_228,4,11
item_229,3,6
item_230,1,6
item_231,1,7
item_232,3,4
item_233,1,14
item_234,4,2
item_235,2,11
item_236,2,5
item_237,2,18
item_238,3,14
item_239,4,16
item_240,2,1
item_241,2,15
item_242,4,19
item_243,2,15
item_244,3,12
item_245,1,5
item_246,2,2
item_247,2,14
item_248,2,4
item_249,2,3
item_250,3,2
item_251,2,12
item_252,1,13
item_253,1,10
item_254,1,8
item_255,1,7
item_256,4,8
item_257,4,17
item_258,1,3
item_259,1,11
item_260,5,8
item_261,3,16
item_262,3,15
item_263,5,5
item_264,1,4
item_265,1,14
item_266,3,5
item_267,4,16
item_268,1,13
item_269,4,3
item_270,4,19
item_271,1,1
item_272,2,14
item_273,5,9
item_274,4,2
item_275,3,13
item_276,1,16
item_277,4,12
item_278,1,20
item_279,4,8
item_280,2,8
item_281,3,7
item_282,4,17
item_283,1,19
item_284,3,17
item_285,4,9
item_286,4,19
item_287,1,16
item_288,3,10
item_289,2,15
item_290,1,17
item_291,4,3
item_292,4,6
item_293,2,13
item_294,2,2
item_295,4,4
item_296,1,16
item_297,2,18
item_298,4,6
item_299,1,19
item_300,1,15
item_301,2,15
item_302,3,13
item_303,3,16
item_304,1,5
item_305,3,7
item_306,3,10
item_307,3,9
item_308,4,7
item_309,4,6
item_310,1,3
item_311,1,3
item_312,3,15
item_313,1,5
item_314,2,15
item_315,5,11
item_316,1,3
item_317,1,5
item_318,1,1
item_319,3,6
item_320,5,12
item_321,4,3
item_322,4,10
item_323,4,12
item_324,2,9
item_325,1,2
item_326,5,10
item_327,4,9
item_328,1,13
item_329,1,4
