label,weight,profit
item_0,44,71
item_1,31,21
item_2,17,32
item_3,33,58
item_4,26,78
item_5,6,7
item_6,24,65
item_7,4,2
item_8,8,65
item_9,23,85
item_10,32,20
item_11,24,57
item_12,4,54
item_13,5,3
item_14,30,2
item_15,17,86
item_16,34,54
item_17,10,75
item_18,13,8
item_19,50,23
item_20,19,60
item_21,6,61
item_22,26,54
item_23,49,53
item_24,9,80
item_25,3,95
item_26,42,1
item_27,3,22
item_28,21,29
item_29,43,36
item_30,34,48
item_31,23,35
item_32,29,16
item_33,49,91
item_34,12,83
item_35,6,56
item_36,33,24
item_37,49,19
item_38,17,93
item_39,12,77
item_40,6,28
item_41,15,37
item_42,7,79
item_43,2,90
item_44,41,59
item_45,4,17
item_46,23,62
item_47,49,46
item_48,4,84
item_49,37,45
item_50,41,47
item_51,6,35
item_52,29,60
item_53,11,34
item_54,4,71
item_55,15,64
item_56,47,63
item_57,1,55
item_58,29,74
item_59,42,33
item_60,33,76
item_61,45,94
item_62,7,16
item_63,44,52
item_64,6,57
item_65,23,43
item_66,28,77
item_67,28,66
item_68,4,61
item_69,44,21
item_70,21,10
item_71,21,62
item_72,14,8
item_73,45,53
item_74,36,30
item_75,26,22
item_76,38,51
item_77,34,46
item_78,32,39
item_79,21,86
item_80,42,94
item_81,42,15
item_82,1,94
item_83,16,99
item_84,33,23
item_85,7,6
item_86,15,63
item_87,2,54
item_88,20,14
item_89,24,31
item_90,23,60
item_91,15,42
item_92,23,90
item_93,21,49
item_94,21,9
item_95,14,76
item_96,14,32
item_97,15,17
item_98,3,72
item_99,35,55
item_100,36,16
item_101,37,29
item_102,40,87
item_103,27,13
item_104,6,83
item_105,15,56
item_106,19,2
item_107,21,21
item_108,32,80
item_109,39,90
item_110,39,76
item_111,39,14
item_112,18,87
item_113,37,86
item_114,39,38
item_115,48,16
item_116,38,18
item_117,43,52
item_118,22,98
item_119,15,41
item_120,4,65
item_121,8,64
item_122,35,38
item_123,18,21
item_124,23,40
item_125,7,21
item_126,29,96
item_127,47,51
item_128,10,84
item_129,5,69
item_130,33,83
item_131,14,72
item_132,6,95
item_133,14,70
item_134,10,80
item_135,20,40
item_136,46,22
item_137,1,75
item_138,13,47
item_139,2,45
item_140,28,42
item_141,1,14
item_142,16,77
item_143,20,29
item_144,22,24
item_145,16,59
item_146,45,10
item_147,1,66
item_148,50,83
item_149,22,51
item_150,50,30
item_151,32,55
item_152,27,74
item_153,4,85
item_154,34,14
item_155,14,38
item_156,22,26
item_157,12,61
item_158,9,9
item_159,38,68
item_160,27,37
item_161,49,37
item_162,35,89
item_163,13,86
item_164,45,4
item_165,14,40
item_166,17,51
item_167,17,82
item_168,50,85
item_169,13,12
item_170,2,29
item_171,33,10
item_172,14,93
item_173,2,25
item_174,36,73
item_175,46,1
item_176,37,62
item_177,32,43
item_178,11,95
item_179,38,72
item_180,47,82
item_181,45,51
item_182,13,96
item_183,48,81
item_184,15,91
item_185,35,55
item_186,43,50
item_187,4,39
item_188,26,99
item_189,37,31
item_190,48,59
item_191,14,100
item_192,29,58
item_193,24,87
item_194,32,35
item_195,44,90
item_196,18,4
item_197,30,39
item_198,31,8
item_199,36,44
item_200,6,86
item_201,45,64
item_202,10,36
item_203,47,84
item_204,10,57
item_205,36,25
item_206,8,15
item_207,31,42
item_208,13,44
item_209,11,51
item_210,37,98
item_211,31,60
item_212,15,73
item_213,31,61
item_214,50,10
item_215,12,13
item_216,27,27
item_217,20,84
item_218,29,87
item_219,26,5
item_220,9,58
item_221,19,64
item_222,49,59
item_223,32,21
item_224,35,46
item_225,36,73
item_226,24,66
item_227,46,5
item_228,18,44
item_229,35,10
item_230,25,43
item_231,48,80
item_232,2,78
item_233,11,63
item_234,46,36
item_235,24,47
item_236,39,30
item_237,13,43
item_238,8,45
item_239,22,85
item_240,8,88
item_241,11,18
item_242,22,92
item_243,49,82
item_244,27,18
item_245,27,1
item_246,31,61
item_247,35,1
item_248,34,27
item_249,32,96
item_250,28,22
item_251,13,78
item_252,5,40
item_253,46,31
item_254,9,28
item_255,42,21
item_256,1,87
item_257,23,93
item_258,18,19
item_259,24,2
item_260,23,48
item_261,31,6
item_262,46,84
item_263,48,49
item_264,21,80
item_265,16,29
item_266,27,9
item_267,27,1
item_268,14,40
item_269,41,14
item_270,36,24
item_271,27,35
item_272,50,50
item_273,45,27
item_274,28,98
item_275,22,95
item_276,25,65
item_277,11,72
item_278,22,29
item_279,3,86
item_280,35,76
item_281,46,74
item_282,38,19
item_283,18,3
item_284,10,9
item_285,42,63
item_286,36,90
item_287,34,30
item_288,31,48
item_289,28,96
item_290,11,99
item_291,29,10
item_292,12,24
item_293,21,77
item_294,6,87
item_295,28,33
item_296,12,77
item_297,43,26
item_298,29,29
item_299,9,25
item_300,50,1
item_301,12,67
item_302,37,30
item_303,15,51
item_304,41,37
item_305,12,2
item_306,1,41
item_307,34,56
item_308,24,39
item_309,48,67
item_310,35,97
item_311,7,42
item_312,10,73
item_313,9,81
item_314,37,8
item_315,29,66
item_316,9,56
item_317,4,49
item_318,23,48
item_319,10,89
item_320,40,11
item_321,35,16
item_322,24,70
item_323,10,9
item_324,48,94
item_325,46,53
item_326,15,31
item_327,40,29
item_328,13,69
item_329,50,55
item_330,30,3
item_331,19,19
item_332,13,92
item_333,21,58
item_334,16,94
item_335,37,70
item_336,27,44
item_337,36,63
item_338,7,6
item_339,16,40
item_340,9,54
item_341,30,90
item_342,8,86
item_343,24,16
item_344,5,42
item_345,7,22
item_346,31,30
item_347,39,71
item_348,40,51
item_349,6,2
