label,weight,profit
item_1,10,7
item_2,5,26
item_3,11,69
item_4,13,13
item_5,7,8
item_6,4,53
item_7,1,24
item_8,10,57
item_9,4,61
item_10,12,6
item_11,12,71
item_12,6,20
item_13,14,37
item_14,2,14
item_15,13,62
item_16,12,74
item_17,9,97
item_18,6,57
item_19,13,64
item_20,13,60
item_21,11,9
item_22,4,32
item_23,2,27
item_24,2,31
item_25,10,40
item_26,6,25
item_27,5,94
item_28,10,63
item_29,3,74
item_30,3,41
item_31,15,66
item_32,9,70
item_33,13,79
item_34,4,8
item_35,5,30
item_36,4,95
item_37,13,35
item_38,10,43
item_39,14,49
item_40,5,28
item_41,9,30
item_42,9,90
item_43,7,26
item_44,15,53
item_45,2,9
item_46,3,65
item_47,12,45
item_48,2,41
item_49,15,55
item_50,15,87
item_51,1,73
item_52,11,56
item_53,5,66
item_54,3,46
item_55,7,96
item_56,13,30
item_57,8,22
item_58,14,88
item_59,5,66
item_60,10,20
item_61,12,56
item_62,12,55
item_63,1,36
item_64,1,93
item_65,13,84
item_66,5,10
item_67,13,95
item_68,2,51
item_69,2,77
item_70,12,17
item_71,8,57
item_72,5,88
item_73,7,25
item_74,9,74
item_75,4,35
item_76,15,67
item_77,7,54
item_78,3,26
item_79,6,61
item_80,4,26
item_81,2,65
item_82,4,91
item_83,13,12
item_84,4,69
item_85,4,18
item_86,14,59
item_87,8,80
item_88,12,23
item_89,2,46
item_90,7,49
item_91,11,69
item_92,15,14
item_93,7,37
item_94,13,29
item_95,4,48
item_96,7,31
item_97,4,93
item_98,7,87
item_99,9,10
item_100,15,84
item_101,15,93
item_102,13,21
item_103,8,25
item_104,7,11
item_105,6,99
item_106,5,79
item_107,7,45
item_108,14,100
item_109,9,73
item_110,3,33
item_111,15,60
item_112,9,76
item_113,2,60
item_114,8,86
item_115,3,96
item_116,2,23
item_117,9,69
item_118,4,16
item_119,13,28
item_120,9,64
item_121,7,60
item_122,8,94
item_123,4,73
item_124,4,43
item_125,10,34
item_126,5,76
item_127,2,49
item_128,15,100
item_129,2,25
item_130,5,94
item_131,13,89
item_132,6,20
item_133,13,72
item_134,10,99
item_135,10,6
item_136,12,33
item_137,10,94
item_138,3,16
item_139,2,58
item_140,5,62
item_141,11,24
item_142,10,30
item_143,8,91
item_144,13,14
item_145,7,31
item_146,1,78
item_147,10,30
item_148,11,57
item_149,7,6
item_150,2,89
item_151,14,57
item_152,13,60
item_153,3,17
item_154,5,90
item_155,12,87
item_156,14,25
item_157,4,15
item_158,12,89
item_159,7,64
item_160,3,93
item_161,13,98
item_162,12,89
item_163,1,75
item_164,6,93
item_165,12,87
item_166,12,30
item_167,12,15
item_168,13,87
item_169,4,83
item_170,7,34
item_171,12,27
item_172,1,23
item_173,6,87
item_174,15,32
item_175,10,43
item_176,15,56
item_177,14,16
item_178,15,22
item_179,14,30
item_180,3,46
item_181,11,35
item_182,9,54
item_183,6,60
item_184,5,72
item_185,1,93
item_186,9,73
item_187,11,69
item_188,6,12
item_189,10,36
item_190,5,86
item_191,11,34
item_192,5,44
item_193,7,33
item_194,3,45
item_195,14,69
item_196,14,63
item_197,5,57
item_198,1,32
item_199,7,60
item_200,10,49
item_201,7,25
item_202,8,91
item_203,12,21
item_204,2,54
item_205,10,37
item_206,12,76
item_207,10,26
item_208,4,7
item_209,4,50
item_210,13,12
item_211,7,65
item_212,4,71
